ts in ms,player id,group id,x in m,y in m
0,8,1,-8.775,-4.127
0,3,1,-10.034,7.160
0,4,1,-1.417,-1.661
0,5,1,1.039,1.932
0,7,1,-6.928,-6.041
0,15,2,-7.364,-5.060
0,16,2,-9.120,5.429
0,17,2,-6.367,0.399
0,18,2,-8.422,-3.200
0,19,2,-5.337,-1.585
40,8,1,-8.906,-4.127
40,3,1,-10.156,7.154
40,4,1,-1.554,-1.734
40,5,1,0.820,1.957
40,7,1,-6.989,-6.014
40,15,2,-7.373,-5.115
40,16,2,-9.178,5.465
40,17,2,-6.422,0.421
40,18,2,-8.504,-3.252
40,19,2,-5.334,-1.615
80,8,1,-9.083,-4.158
80,3,1,-10.241,7.166
80,4,1,-1.628,-1.768
80,5,1,0.628,1.972
80,7,1,-7.059,-6.023
80,15,2,-7.431,-5.124
80,16,2,-9.248,5.486
80,17,2,-6.483,0.421
80,18,2,-8.629,-3.277
80,19,2,-5.426,-1.664
120,8,1,-9.214,-4.203
120,3,1,-10.324,7.169
120,4,1,-1.728,-1.826
120,5,1,0.421,2.033
120,7,1,-7.148,-5.999
120,15,2,-7.437,-5.173
120,16,2,-9.327,5.520
120,17,2,-6.517,0.436
120,18,2,-8.717,-3.325
120,19,2,-5.407,-1.683
160,8,1,-9.388,-4.246
160,3,1,-10.409,7.126
160,4,1,-1.859,-1.868
160,5,1,0.204,2.076
160,7,1,-7.236,-5.999
160,15,2,-7.523,-5.215
160,16,2,-9.415,5.563
160,17,2,-6.559,0.436
160,18,2,-8.803,-3.368
160,19,2,-5.450,-1.683
200,8,1,-9.519,-4.304
200,3,1,-10.473,7.111
200,4,1,-1.972,-1.905
200,5,1,-0.006,2.115
200,7,1,-7.315,-5.977
200,15,2,-7.562,-5.230
200,16,2,-9.470,5.581
200,17,2,-6.611,0.457
200,18,2,-8.900,-3.405
200,19,2,-5.483,-1.704
240,8,1,-9.650,-4.347
240,3,1,-10.516,7.068
240,4,1,-2.057,-1.948
240,5,1,-0.180,2.158
240,7,1,-7.358,-5.977
240,15,2,-7.605,-5.230
240,16,2,-9.516,5.581
240,17,2,-6.657,0.500
240,18,2,-8.986,-3.447
240,19,2,-5.483,-1.750
280,8,1,-9.763,-4.423
280,3,1,-10.577,7.050
280,4,1,-2.146,-1.978
280,5,1,-0.387,2.195
280,7,1,-7.443,-5.956
