ts in ms,player id,group id,x in m,y in m
0,9,1,-11.787,3.225
0,4,1,-8.723,0.433
0,3,1,-6.873,-0.195
0,8,1,-8.659,-3.325
0,7,1,-13.250,2.627
0,20,2,-4.103,3.850
0,16,2,-8.202,-2.987
0,22,2,-9.915,6.840
0,21,2,-8.221,1.643
0,19,2,-13.177,4.411
40,4,1,-8.855,0.390
40,8,1,-8.791,-3.194
40,9,1,-11.787,3.225
40,7,1,-13.207,2.627
40,3,1,-6.873,-0.152
40,22,2,-9.915,6.794
40,20,2,-4.103,3.850
40,16,2,-8.376,-2.902
40,21,2,-8.352,1.686
40,19,2,-13.177,4.368
80,4,1,-8.955,0.329
80,8,1,-8.919,-3.106
80,9,1,-11.765,3.216
80,7,1,-13.143,2.609
80,3,1,-6.864,-0.137
80,21,2,-8.516,1.740
80,16,2,-8.559,-2.752
80,22,2,-9.903,6.739
80,19,2,-13.122,4.295
80,20,2,-4.112,3.825
120,9,1,-11.799,3.216
120,8,1,-9.013,-2.987
120,7,1,-13.155,2.640
120,4,1,-9.111,0.305
120,3,1,-6.864,-0.088
120,22,2,-9.882,6.742
120,21,2,-8.650,1.786
120,19,2,-13.094,4.255
120,16,2,-8.717,-2.624
120,20,2,-4.115,3.837
160,4,1,-9.287,0.262
160,7,1,-13.110,2.682
160,9,1,-11.799,3.216
160,3,1,-6.864,-0.043
160,8,1,-9.141,-2.902
160,22,2,-9.882,6.700
160,21,2,-8.778,1.829
160,16,2,-8.848,-2.539
160,20,2,-4.161,3.837
160,19,2,-13.052,4.167
200,9,1,-11.839,3.197
200,8,1,-9.284,-2.804
200,3,1,-6.864,0.015
200,7,1,-13.116,2.716
200,4,1,-9.443,0.216
200,22,2,-9.851,6.703
200,19,2,-13.012,4.106
200,21,2,-8.912,1.881
200,20,2,-4.167,3.847
200,16,2,-9.013,-2.426
240,8,1,-9.443,-2.722
240,3,1,-6.858,0.043
240,9,1,-11.808,3.182
240,4,1,-9.568,0.128
240,7,1,-13.058,2.740
240,20,2,-4.212,3.831
240,22,2,-9.812,6.648
240,16,2,-9.184,-2.310
240,19,2,-12.975,4.014
240,21,2,-9.083,1.902
280,8,1,-9.580,-2.640
280,3,1,-6.858,0.119
280,9,1,-11.851,3.146
280,4,1,-9.684,0.110
280,7,1,-13.107,2.777
280,20,2,-4.222,3.834
280,22,2,-9.772,6.690
280,16,2,-9.354,-2.207
280,19,2,-12.966,3.969
280,21,2,-9.217,1.963
320,8,1,-9.754,-2.554
320,3,1,-6.858,0.207
320,9,1,-11.896,3.103
320,4,1,-9.815,0.067
320,7,1,-13.107,2.822
320,20,2,-4.267,3.834
320,22,2,-9.729,6.690
320,16,2,-9.528,-2.076
320,19,2,-12.924,3.883
