ts in ms,player id,group id,x in m,y in m
0,8,1,4.813,3.853
0,3,1,-0.201,-2.131
0,4,1,-5.718,0.924
0,7,1,6.724,-3.112
0,10,1,1.347,1.262
0,15,2,0.549,-6.050
0,16,2,-2.210,-0.805
0,18,2,-0.866,3.377
0,19,2,2.554,5.755
0,21,2,5.743,-6.901
40,8,1,4.941,3.810
40,3,1,0.018,-2.085
40,4,1,-5.544,0.881
40,7,1,6.855,-3.155
40,10,1,1.567,1.219
40,15,2,0.808,-6.050
40,16,2,-2.079,-0.762
40,18,2,-0.692,3.463
40,19,2,2.771,5.800
40,21,2,5.962,-6.901
80,8,1,5.118,3.810
80,3,1,0.219,-2.048
80,4,1,-5.340,0.850
80,7,1,6.943,-3.243
80,10,1,1.753,1.198
80,15,2,1.097,-6.014
80,16,2,-1.914,-0.747
80,18,2,-0.518,3.551
80,19,2,2.966,5.825
80,21,2,6.181,-6.892
120,8,1,5.246,3.810
120,3,1,0.439,-2.006
120,4,1,-5.121,0.808
120,7,1,7.071,-3.286
120,10,1,1.972,1.152
120,15,2,1.314,-6.014
120,16,2,-1.783,-0.701
120,18,2,-0.341,3.636
120,19,2,3.182,5.871
120,21,2,6.355,-6.892
160,8,1,5.422,3.810
160,3,1,0.631,-1.984
160,4,1,-4.929,0.783
160,7,1,7.163,-3.332
160,10,1,2.161,1.137
160,15,2,1.570,-5.992
160,16,2,-1.640,-0.668
160,18,2,-0.174,3.722
160,19,2,3.377,5.892
160,21,2,6.553,-6.898
200,8,1,5.550,3.810
200,3,1,0.805,-1.984
200,4,1,-4.755,0.783
200,7,1,7.294,-3.374
200,10,1,2.335,1.094
200,15,2,1.832,-5.992
200,16,2,-1.509,-0.625
200,18,2,0.000,3.807
200,19,2,3.551,5.938
200,21,2,6.727,-6.898
240,8,1,5.727,3.810
240,3,1,1.024,-1.984
240,4,1,-4.535,0.783
240,7,1,7.425,-3.417
240,10,1,2.551,1.094
240,15,2,2.094,-5.992
240,16,2,-1.335,-0.582
240,18,2,0.174,3.895
240,19,2,3.770,5.938
240,21,2,6.901,-6.898
280,8,1,5.855,3.810
280,3,1,1.198,-1.984
280,4,1,-4.331,0.762
280,7,1,7.510,-3.463
280,10,1,2.777,1.073
280,15,2,2.371,-5.962
280,16,2,-1.183,-0.555
280,18,2,0.341,3.962
280,19,2,3.996,5.947
280,21,2,7.114,-6.879
320,8,1,6.032,3.810
320,3,1,1.356,-1.975
320,4,1,-4.142,0.774
320,7,1,7.641,-3.505
320,10,1,2.960,1.067
320,15,2,2.591,-5.959
320,16,2,-1.049,-0.506
320,18,2,0.497,4.033
320,19,2,4.167,5.959
320,21,2,7.300,-6.904
360,8,1,6.160,3.810
360,3,1,1.576,-1.975
360,4,1,-3.923,0.774
360,7,1,7.772,-3.548
360,10,1,3.179,1.024
360,15,2,2.810,-5.913
360,16,2,-0.917,-0.463
360,18,2,0.628,4.118
360,19,2,4.383,5.959
360,21,2,7.477,-6.904
400,8,1,6.337,3.810
400,3,1,1.747,-1.969
400,4,1,-3.761,0.789
400,7,1,7.916,-3.572
400,10,1,3.396,0.981
400,15,2,3.045,-5.901
400,16,2,-0.783,-0.454
400,18,2,0.783,4.206
400,19,2,4.563,5.977
400,21,2,7.678,-6.934
440,8,1,6.465,3.810
440,3,1,1.963,-1.966
440,4,1,-3.545,0.832
440,7,1,8.001,-3.615
440,10,1,3.645,0.930
440,15,2,3.264,-5.837
440,16,2,-0.622,-0.445
440,18,2,0.942,4.270
440,19,2,4.770,5.974
440,21,2,7.858,-6.913
480,8,1,6.596,3.810
480,3,1,2.143,-1.951
480,4,1,-3.371,0.844
480,7,1,8.126,-3.642
480,10,1,3.865,0.887
480,15,2,3.484,-5.810
480,16,2,-0.491,-0.430
480,18,2,1.106,4.340
480,19,2,4.956,5.995
480,21,2,8.059,-6.946
520,8,1,6.727,3.853
520,3,1,2.317,-1.951
520,4,1,-3.197,0.887
520,7,1,8.214,-3.688
520,10,1,4.081,0.844
520,15,2,3.700,-5.767
520,16,2,-0.360,-0.430
520,18,2,1.280,4.426
520,19,2,5.133,5.995
520,21,2,8.236,-6.946
560,8,1,6.858,3.898
560,3,1,2.536,-1.951
560,4,1,-2.978,0.887
560,7,1,8.300,-3.731
560,10,1,4.301,0.802
560,15,2,3.874,-5.724
560,16,2,-0.229,-0.430
560,18,2,1.454,4.514
560,19,2,5.307,5.995
560,21,2,8.410,-6.992
600,8,1,6.989,3.941
600,3,1,2.725,-1.960
600,4,1,-2.780,0.884
600,7,1,8.419,-3.758
600,10,1,4.508,0.719
600,15,2,4.078,-5.682
600,16,2,-0.088,-0.405
600,18,2,1.619,4.581
600,19,2,5.496,6.011
600,21,2,8.592,-7.007
640,8,1,7.120,3.984
640,3,1,2.899,-1.960
640,4,1,-2.606,0.884
640,7,1,8.504,-3.758
640,10,1,4.724,0.674
640,15,2,4.295,-5.639
640,16,2,0.043,-0.405
640,18,2,1.795,4.624
640,19,2,5.669,6.011
640,21,2,8.766,-7.007
680,8,1,7.251,4.026
680,3,1,3.118,-1.969
680,4,1,-2.374,0.872
680,7,1,8.580,-3.780
680,10,1,4.898,0.631
680,15,2,4.493,-5.566
680,16,2,0.213,-0.372
680,18,2,1.987,4.667
680,19,2,5.883,6.035
680,21,2,8.955,-7.020
720,8,1,7.379,4.072
720,3,1,3.292,-1.969
720,4,1,-2.201,0.826
720,7,1,8.711,-3.780
720,10,1,5.072,0.588
720,15,2,4.712,-5.523
720,16,2,0.344,-0.329
720,18,2,2.161,4.752
720,19,2,6.056,6.078
720,21,2,9.129,-7.062
760,8,1,7.556,4.115
760,3,1,3.487,-1.963
760,4,1,-2.003,0.829
760,7,1,8.760,-3.795
760,10,1,5.285,0.524
760,15,2,4.892,-5.477
760,16,2,0.479,-0.314
760,18,2,2.323,4.813
760,19,2,6.242,6.096
760,21,2,9.312,-7.071
800,8,1,7.684,4.115
800,3,1,3.661,-1.963
800,4,1,-1.786,0.783
800,7,1,8.891,-3.795
800,10,1,5.462,0.436
800,15,2,5.066,-5.435
800,16,2,0.610,-0.268
800,18,2,2.451,4.856
800,19,2,6.419,6.139
800,21,2,9.485,-7.114
840,8,1,7.815,4.115
840,3,1,3.837,-1.963
840,4,1,-1.612,0.783
840,7,1,9.022,-3.795
840,10,1,5.636,0.351
840,15,2,5.243,-5.392
840,16,2,0.741,-0.226
840,18,2,2.627,4.898
840,19,2,6.593,6.184
840,21,2,9.617,-7.071
880,8,1,7.946,4.115
880,3,1,4.011,-1.963
880,4,1,-1.393,0.774
880,7,1,9.123,-3.810
880,10,1,5.852,0.262
880,15,2,5.429,-5.307
880,16,2,0.899,-0.207
880,18,2,2.786,4.938
880,19,2,6.754,6.200
880,21,2,9.766,-7.032
920,8,1,8.077,4.115
920,3,1,4.185,-1.963
920,4,1,-1.213,0.789
920,7,1,9.254,-3.810
920,10,1,6.047,0.189
920,15,2,5.572,-5.294
920,16,2,1.027,-0.165
920,18,2,2.932,5.005
920,19,2,6.919,6.242
920,21,2,9.937,-7.074
960,8,1,8.208,4.115
960,3,1,4.359,-1.963
960,4,1,-1.039,0.832
960,7,1,9.385,-3.810
960,10,1,6.264,0.104
960,15,2,5.746,-5.249
960,16,2,1.158,-0.165
960,18,2,3.063,5.051
960,19,2,7.096,6.242
960,21,2,10.068,-7.074
1000,8,1,8.339,4.115
1000,3,1,4.532,-1.963
1000,4,1,-0.844,0.850
1000,7,1,9.513,-3.810
1000,10,1,6.459,0.006
1000,15,2,5.892,-5.233
1000,16,2,1.283,-0.165
1000,18,2,3.213,5.081
1000,19,2,7.267,6.239
1000,21,2,10.235,-7.078
1040,8,1,8.470,4.115
1040,3,1,4.724,-1.981
1040,4,1,-0.604,0.884
1040,7,1,9.644,-3.853
1040,10,1,6.639,-0.104
1040,15,2,6.059,-5.218
1040,16,2,1.454,-0.152
1040,18,2,3.368,5.127
1040,19,2,7.459,6.245
1040,21,2,10.376,-7.078
1080,8,1,8.599,4.115
1080,3,1,4.898,-1.981
1080,4,1,-0.433,0.908
1080,7,1,9.781,-3.856
1080,10,1,6.837,-0.189
1080,15,2,6.206,-5.209
1080,16,2,1.579,-0.149
1080,18,2,3.514,5.173
1080,19,2,7.629,6.245
1080,21,2,10.543,-7.078
