ts in ms,player id,group id,x in m,y in m
760,8,1,12.939,3.975
760,3,1,8.303,5.840
760,9,1,0.442,-0.552
760,4,1,11.805,-1.637
760,10,1,11.424,-6.602
760,15,2,9.184,-3.645
760,20,2,1.140,-5.956
760,22,2,12.134,-0.381
760,18,2,11.214,-0.936
760,21,2,7.815,4.441
800,8,1,12.936,3.965
800,3,1,8.190,5.807
800,9,1,0.335,-0.576
800,4,1,11.814,-1.686
800,10,1,11.433,-6.623
800,15,2,9.220,-3.734
800,20,2,1.049,-5.980
800,22,2,12.104,-0.427
800,18,2,11.174,-1.015
800,21,2,7.721,4.459
840,8,1,12.942,3.923
840,3,1,8.144,5.764
840,9,1,0.271,-0.628
840,4,1,11.762,-1.768
840,10,1,11.439,-6.599
840,15,2,9.312,-3.837
840,20,2,0.954,-5.986
840,22,2,12.070,-0.451
840,18,2,11.141,-1.113
840,21,2,7.580,4.450
880,8,1,12.939,3.914
880,3,1,8.065,5.715
880,9,1,0.180,-0.671
880,4,1,11.762,-1.783
880,10,1,11.461,-6.608
880,15,2,9.327,-3.911
880,20,2,0.863,-6.008
880,22,2,12.079,-0.460
880,18,2,11.134,-1.216
880,21,2,7.501,4.471
920,8,1,12.939,3.914
920,3,1,7.980,5.630
920,9,1,0.094,-0.713
920,4,1,11.762,-1.829
920,10,1,11.506,-6.608
920,15,2,9.370,-3.996
920,20,2,0.820,-6.008
920,22,2,12.079,-0.506
920,18,2,11.134,-1.305
920,21,2,7.413,4.471
960,8,1,12.939,3.950
960,3,1,7.928,5.608
960,9,1,-0.027,-0.728
960,4,1,11.753,-1.856
960,10,1,11.546,-6.605
960,15,2,9.415,-4.051
960,20,2,0.771,-6.023
960,22,2,12.092,-0.527
960,18,2,11.125,-1.387
960,21,2,7.315,4.490
1000,8,1,12.945,3.956
1000,3,1,7.879,5.538
1000,9,1,-0.079,-0.802
1000,4,1,11.692,-1.902
1000,10,1,11.586,-6.538
1000,15,2,9.522,-4.154
1000,20,2,0.750,-6.005
1000,22,2,12.073,-0.579
1000,18,2,11.116,-1.463
1000,21,2,7.242,4.478
1040,8,1,12.945,3.993
1040,3,1,7.812,5.502
1040,9,1,-0.183,-0.829
1040,4,1,11.674,-1.905
1040,10,1,11.650,-6.526
1040,15,2,9.598,-4.194
1040,20,2,0.765,-6.005
1040,22,2,12.085,-0.613
1040,18,2,11.107,-1.567
1040,21,2,7.187,4.490
1080,8,1,12.948,4.005
1080,3,1,7.751,5.450
1080,9,1,-0.253,-0.893
1080,4,1,11.619,-1.987
1080,10,1,11.729,-6.462
1080,15,2,9.735,-4.325
1080,20,2,0.814,-5.935
1080,22,2,12.070,-0.655
1080,18,2,11.104,-1.619
1080,21,2,7.151,4.429
1120,8,1,12.954,4.045
1120,3,1,7.666,5.401
1120,9,1,-0.375,-0.930
1120,4,1,11.595,-1.996
1120,10,1,11.805,-6.428
1120,15,2,9.790,-4.392
1120,20,2,0.838,-5.922
1120,22,2,12.082,-0.704
1120,18,2,11.092,-1.692
1120,21,2,7.157,4.426
