ts in ms,player id,group id,x in m,y in m
0,3,1,-4.673,5.529
0,11,1,-12.979,2.426
0,9,1,-7.492,4.944
0,12,1,-4.599,-1.679
0,10,1,-8.967,-6.910
0,20,2,-5.773,5.395
0,22,2,-10.689,-1.987
0,16,2,-5.913,3.804
0,18,2,-5.831,-0.805
0,21,2,-11.573,3.554
40,3,1,-4.627,5.441
40,11,1,-12.979,2.249
40,9,1,-7.577,4.901
40,12,1,-4.642,-1.679
40,10,1,-8.967,-6.910
40,20,2,-5.685,5.264
40,22,2,-10.689,-1.945
40,16,2,-5.828,3.804
40,18,2,-5.831,-0.805
40,21,2,-11.573,3.466
80,3,1,-4.551,5.361
80,11,1,-12.979,2.082
80,9,1,-7.681,4.877
80,12,1,-4.688,-1.679
80,10,1,-8.961,-6.913
80,20,2,-5.608,5.179
80,22,2,-10.708,-1.896
80,16,2,-5.724,3.816
80,18,2,-5.871,-0.811
80,21,2,-11.592,3.380
120,3,1,-4.465,5.273
120,11,1,-12.988,1.911
120,9,1,-7.779,4.859
120,12,1,-4.767,-1.676
120,10,1,-8.952,-6.916
120,20,2,-5.529,5.078
120,22,2,-10.723,-1.850
120,16,2,-5.627,3.816
120,18,2,-5.913,-0.829
120,21,2,-11.604,3.286
160,3,1,-4.383,5.179
160,11,1,-13.000,1.740
160,9,1,-7.885,4.834
160,12,1,-4.813,-1.676
160,10,1,-8.946,-6.919
160,20,2,-5.447,4.965
160,22,2,-10.738,-1.807
160,16,2,-5.526,3.807
160,18,2,-5.956,-0.844
160,21,2,-11.616,3.203
200,3,1,-4.304,5.072
200,11,1,-12.997,1.573
200,9,1,-7.952,4.807
200,12,1,-4.856,-1.676
200,10,1,-8.949,-6.910
200,20,2,-5.349,4.831
200,22,2,-10.708,-1.765
200,16,2,-5.413,3.804
200,18,2,-5.965,-0.835
200,21,2,-11.589,3.121
240,3,1,-4.222,4.971
240,11,1,-13.015,1.402
240,9,1,-8.047,4.788
240,12,1,-4.898,-1.676
240,10,1,-8.940,-6.913
240,20,2,-5.270,4.718
240,22,2,-10.717,-1.731
240,16,2,-5.319,3.777
240,18,2,-6.011,-0.860
240,21,2,-11.598,3.042
280,3,1,-4.139,4.871
280,11,1,-13.033,1.207
280,9,1,-8.138,4.767
280,12,1,-4.941,-1.676
280,10,1,-8.931,-6.916
280,20,2,-5.191,4.593
280,22,2,-10.726,-1.710
280,16,2,-5.233,3.734
280,18,2,-6.063,-0.887
280,21,2,-11.604,2.966
320,3,1,-4.054,4.782
320,11,1,-13.058,1.030
320,9,1,-8.248,4.764
320,12,1,-4.999,-1.679
320,10,1,-8.916,-6.931
320,20,2,-5.136,4.517
320,22,2,-10.769,-1.710
320,16,2,-5.127,3.688
320,18,2,-6.160,-0.927
320,21,2,-11.640,2.890
360,3,1,-3.987,4.685
360,11,1,-13.049,0.820
360,9,1,-8.346,4.749
360,12,1,-5.045,-1.679
360,10,1,-8.925,-6.919
360,20,2,-5.041,4.401
360,22,2,-10.729,-1.698
360,16,2,-5.026,3.642
360,18,2,-6.188,-0.957
360,21,2,-11.607,2.813
400,3,1,-3.938,4.596
400,11,1,-13.064,0.631
400,9,1,-8.443,4.718
400,12,1,-5.069,-1.679
400,10,1,-8.916,-6.922
400,20,2,-4.965,4.286
400,22,2,-10.729,-1.695
400,16,2,-4.947,3.584
400,18,2,-6.233,-0.978
400,21,2,-11.607,2.734
440,3,1,-3.898,4.517
440,11,1,-13.073,0.454
440,9,1,-8.541,4.688
440,12,1,-5.112,-1.683
440,10,1,-8.909,-6.922
440,20,2,-4.895,4.179
440,22,2,-10.729,-1.692
440,16,2,-4.868,3.524
440,18,2,-6.279,-1.003
440,21,2,-11.607,2.649
480,3,1,-3.862,4.459
480,11,1,-13.104,0.265
480,9,1,-8.678,4.657
480,12,1,-5.157,-1.686
480,10,1,-8.888,-6.937
480,20,2,-4.849,4.094
480,22,2,-10.772,-1.695
480,16,2,-4.810,3.444
480,18,2,-6.349,-1.058
480,21,2,-11.644,2.566
520,3,1,-3.841,4.420
520,11,1,-13.110,0.079
520,9,1,-8.791,4.615
520,12,1,-5.200,-1.686
520,10,1,-8.885,-6.940
520,20,2,-4.779,3.999
520,22,2,-10.769,-1.704
520,16,2,-4.740,3.377
520,18,2,-6.386,-1.082
520,21,2,-11.647,2.484
560,3,1,-3.831,4.362
560,11,1,-13.119,-0.091
560,9,1,-8.903,4.572
560,12,1,-5.264,-1.689
560,10,1,-8.879,-6.940
560,20,2,-4.715,3.914
560,22,2,-10.766,-1.716
560,16,2,-4.670,3.310
560,18,2,-6.416,-1.097
560,21,2,-11.644,2.408
600,3,1,-3.831,4.319
600,11,1,-13.128,-0.259
600,9,1,-9.025,4.523
600,12,1,-5.319,-1.692
600,10,1,-8.873,-6.943
600,20,2,-4.645,3.831
600,22,2,-10.763,-1.731
600,16,2,-4.603,3.237
600,18,2,-6.447,-1.113
600,21,2,-11.640,2.338
640,3,1,-3.831,4.276
640,11,1,-13.174,-0.390
640,9,1,-9.111,4.435
640,12,1,-5.407,-1.692
640,10,1,-8.873,-6.943
640,20,2,-4.603,3.658
640,22,2,-10.763,-1.731
640,16,2,-4.560,3.237
640,18,2,-6.447,-1.113
640,21,2,-11.640,2.295
680,3,1,-3.831,4.225
680,11,1,-13.186,-0.546
680,9,1,-9.236,4.389
680,12,1,-5.465,-1.701
680,10,1,-8.867,-6.946
680,20,2,-4.545,3.594
680,22,2,-10.757,-1.750
680,16,2,-4.502,3.167
680,18,2,-6.477,-1.140
680,21,2,-11.628,2.256
720,3,1,-3.831,4.170
720,11,1,-13.198,-0.710
720,9,1,-9.351,4.340
720,12,1,-5.514,-1.704
720,10,1,-8.861,-6.950
720,20,2,-4.484,3.536
720,22,2,-10.747,-1.774
720,16,2,-4.453,3.094
720,18,2,-6.501,-1.164
720,21,2,-11.616,2.231
760,3,1,-3.834,4.112
760,11,1,-13.210,-0.866
760,9,1,-9.467,4.289
760,12,1,-5.563,-1.713
760,10,1,-8.851,-6.950
760,20,2,-4.426,3.478
760,22,2,-10.738,-1.792
760,16,2,-4.407,3.015
760,18,2,-6.532,-1.183
760,21,2,-11.598,2.219
800,3,1,-3.834,4.023
800,11,1,-13.225,-1.000
800,9,1,-9.577,4.240
800,12,1,-5.605,-1.713
800,10,1,-8.827,-6.934
800,20,2,-4.398,3.444
800,22,2,-10.699,-1.780
800,16,2,-4.389,2.935
800,18,2,-6.541,-1.170
800,21,2,-11.564,2.225
840,3,1,-3.831,3.959
840,11,1,-13.241,-1.146
840,9,1,-9.681,4.191
840,12,1,-5.651,-1.725
840,10,1,-8.812,-6.934
840,20,2,-4.356,3.411
840,22,2,-10.696,-1.786
840,16,2,-4.350,2.859
840,18,2,-6.569,-1.189
840,21,2,-11.540,2.234
880,3,1,-3.834,3.901
880,11,1,-13.259,-1.286
880,9,1,-9.787,4.148
880,12,1,-5.703,-1.731
880,10,1,-8.797,-6.934
880,20,2,-4.319,3.386
880,22,2,-10.689,-1.789
880,16,2,-4.316,2.789
880,18,2,-6.593,-1.207
880,21,2,-11.512,2.256
920,3,1,-3.841,3.834
920,11,1,-13.271,-1.442
920,9,1,-9.915,4.133
920,12,1,-5.746,-1.731
920,10,1,-8.757,-6.950
920,20,2,-4.286,3.456
920,22,2,-10.726,-1.801
920,16,2,-4.282,2.637
920,18,2,-6.669,-1.228
920,21,2,-11.512,2.262
960,3,1,-3.834,3.804
960,11,1,-13.277,-1.582
960,9,1,-9.998,4.069
960,12,1,-5.791,-1.725
960,10,1,-8.739,-6.934
960,20,2,-4.289,3.411
960,22,2,-10.689,-1.777
960,16,2,-4.292,2.551
960,18,2,-6.703,-1.201
960,21,2,-11.445,2.274
1000,3,1,-3.825,3.737
1000,11,1,-13.299,-1.707
1000,9,1,-10.095,4.030
1000,12,1,-5.843,-1.728
1000,10,1,-8.720,-6.934
1000,20,2,-4.267,3.392
1000,22,2,-10.689,-1.762
1000,16,2,-4.279,2.475
1000,18,2,-6.736,-1.189
1000,21,2,-11.415,2.298
1040,3,1,-3.816,3.676
1040,11,1,-13.320,-1.826
1040,9,1,-10.183,4.002
1040,12,1,-5.901,-1.734
1040,10,1,-8.699,-6.931
1040,20,2,-4.252,3.377
1040,22,2,-10.696,-1.740
1040,16,2,-4.276,2.402
1040,18,2,-6.779,-1.167
1040,21,2,-11.384,2.326
1080,3,1,-3.807,3.630
1080,11,1,-13.347,-1.957
1080,9,1,-10.272,3.978
1080,12,1,-5.977,-1.750
1080,10,1,-8.693,-6.946
1080,20,2,-4.209,3.344
1080,22,2,-10.735,-1.737
1080,16,2,-4.264,2.326
1080,18,2,-6.846,-1.170
1080,21,2,-11.372,2.359
1120,3,1,-3.804,3.584
1120,11,1,-13.375,-2.067
1120,9,1,-10.360,3.956
1120,12,1,-6.038,-1.750
1120,10,1,-8.675,-6.946
1120,20,2,-4.191,3.310
1120,22,2,-10.750,-1.704
1120,16,2,-4.286,2.249
1120,18,2,-6.898,-1.152
1120,21,2,-11.345,2.402
1160,3,1,-3.801,3.557
1160,11,1,-13.366,-2.192
1160,9,1,-10.415,3.923
1160,12,1,-6.090,-1.734
1160,10,1,-8.669,-6.931
1160,20,2,-4.179,3.280
1160,22,2,-10.757,-1.643
1160,16,2,-4.316,2.173
1160,18,2,-6.959,-1.125
1160,21,2,-11.296,2.441
1200,3,1,-3.795,3.533
1200,11,1,-13.393,-2.292
1200,9,1,-10.494,3.914
1200,12,1,-6.145,-1.740
1200,10,1,-8.653,-6.931
